status	path	action
M	ARCHITECTURE.md	banner-or-regenerated
M	README.md	banner-or-regenerated
M	docs/00-AUDIT-INDEX.md	banner-or-regenerated
M	docs/07-ISSUE-REGISTER.md	banner-or-regenerated
M	docs/audit/00-AUDIT-INDEX.md	banner-or-regenerated
M	docs/audit/02-REPOSITORY-INVENTORY.md	banner-or-regenerated
M	docs/audit/README.md	banner-or-regenerated
M	docs/audit/evidence/endpoint-inventory-current.tsv	banner-or-regenerated
M	docs/audit/evidence/final-file-coverage.tsv	banner-or-regenerated
M	docs/audit/evidence/frontend-api-pairs-current.tsv	banner-or-regenerated
M	docs/audit/evidence/frontend-routes-current.tsv	banner-or-regenerated
??	docs/_previous/2026-07-25T00-00-00Z/	created-by-audit
??	docs/audit/01-SYSTEM-OVERVIEW.md	created-by-audit
??	docs/audit/03-PRODUCT-AND-DOMAIN.md	created-by-audit
??	docs/audit/04-ARCHITECTURE-AND-DEPENDENCIES.md	created-by-audit
??	docs/audit/05-SERVICE-DEPENDENCY-MAP.md	created-by-audit
??	docs/audit/06-WORKFLOWS.md	created-by-audit
??	docs/audit/07-TRACEABILITY-MATRIX.md	created-by-audit
??	docs/audit/08-SECURITY-RBAC-AND-PRIVACY.md	created-by-audit
??	docs/audit/09-DATABASE-AND-DATA-INTEGRITY.md	created-by-audit
??	docs/audit/10-BOOKING-AVAILABILITY-AND-CONCURRENCY.md	created-by-audit
??	docs/audit/11-PRICING-PAYMENTS-AND-FINANCIAL-INTEGRITY.md	created-by-audit
??	docs/audit/12-EVENTS-MESSAGING-NOTIFICATIONS-AND-RECOVERY.md	created-by-audit
??	docs/audit/13-FRONTEND-UI-UX-AND-ACCESSIBILITY.md	created-by-audit
??	docs/audit/14-API-AND-EVENT-COMPATIBILITY.md	created-by-audit
??	docs/audit/15-DEVOPS-DEPLOYMENT-RELIABILITY-AND-OBSERVABILITY.md	created-by-audit
??	docs/audit/16-TESTING-AND-QUALITY.md	created-by-audit
??	docs/audit/17-PERFORMANCE-CAPACITY-AND-CONCURRENCY.md	created-by-audit
??	docs/audit/18-SOFTWARE-SUPPLY-CHAIN-AND-REPOSITORY-HYGIENE.md	created-by-audit
??	docs/audit/19-CODE-QUALITY-AND-MAINTAINABILITY.md	created-by-audit
??	docs/audit/20-PRIVACY-COMPLIANCE-AND-GOVERNANCE.md	created-by-audit
??	docs/audit/21-INTEGRATIONS-OTA-AND-GLOBAL-READINESS.md	created-by-audit
??	docs/audit/22-DOCUMENTATION-CONTRADICTION-REGISTER.md	created-by-audit
??	docs/audit/25-COVERAGE-MANIFEST.md	created-by-audit
??	docs/audit/26-COMMANDS-AND-EVIDENCE-LEDGER.md	created-by-audit
??	docs/audit/AUDIT_STATUS.md	created-by-audit
??	docs/audit/CURRENT-PROBLEMS-AND-ERRORS.md	created-by-audit
??	docs/audit/DOCUMENTATION-MAP.md	created-by-audit
??	docs/audit/EXECUTIVE-SUMMARY-CURRENT.md	created-by-audit
??	docs/audit/HISTORICAL-AND-SUPERSEDED-FINDINGS.md	created-by-audit
??	docs/audit/ISSUE-REGISTER-CURRENT.md	created-by-audit
??	docs/audit/PRODUCTION-GRADE-IMPROVEMENTS.md	created-by-audit
??	docs/audit/PRODUCTION-READINESS-CHECKLIST.md	created-by-audit
??	docs/audit/REMEDIATION-ROADMAP-CURRENT.md	created-by-audit
??	docs/audit/evidence/_final_porcelain.txt	created-by-audit
??	docs/audit/evidence/api-contract-diff.tsv	created-by-audit
??	docs/audit/evidence/artifact-provenance.md	created-by-audit
??	docs/audit/evidence/audit-file-change-manifest.tsv	created-by-audit
??	docs/audit/evidence/backend-dependency-inventory.tsv	created-by-audit
??	docs/audit/evidence/commands-and-results.md	created-by-audit
??	docs/audit/evidence/container-image-inventory.tsv	created-by-audit
??	docs/audit/evidence/current-booking-concurrency-audit.md	created-by-audit
??	docs/audit/evidence/current-database-catalog.md	created-by-audit
??	docs/audit/evidence/current-payment-financial-integrity-audit.md	created-by-audit
??	docs/audit/evidence/current-security-traces.md	created-by-audit
??	docs/audit/evidence/deployment-capability-matrix.tsv	created-by-audit
??	docs/audit/evidence/entity-migration-diff.tsv	created-by-audit
??	docs/audit/evidence/event-contract-matrix.tsv	created-by-audit
??	docs/audit/evidence/frontend-dependency-inventory.tsv	created-by-audit
??	docs/audit/evidence/git-status-baseline.txt	created-by-audit
??	docs/audit/evidence/license-inventory.tsv	created-by-audit
??	docs/audit/evidence/migration-analysis.md	created-by-audit
??	docs/audit/evidence/money-invariant-matrix.tsv	created-by-audit
??	docs/audit/evidence/producer-consumer-matrix.tsv	created-by-audit
??	docs/audit/evidence/repository-baseline.md	created-by-audit
??	docs/audit/evidence/service-dependency-graph.md	created-by-audit
??	docs/audit/evidence/source-snapshot.tsv	created-by-audit
??	docs/audit/evidence/tenant-isolation-matrix.tsv	created-by-audit
??	docs/audit/ENVIRONMENT-RECOVERY-AND-EXECUTION.md	created-by-execution-phase
??	docs/audit/AUDIT-EXECUTION-MATRIX.md	created-by-execution-phase
??	docs/audit/CURRENT-BUILD-AND-TEST-RESULTS.md	created-by-execution-phase
??	docs/audit/CURRENT-RUNTIME-VERIFICATION.md	created-by-execution-phase
??	docs/audit/CURRENT-MIGRATION-VERIFICATION.md	created-by-execution-phase
??	docs/audit/CURRENT-PROVIDER-VERIFICATION.md	created-by-execution-phase
??	docs/audit/EXTERNAL-BLOCKERS-AND-UNVERIFIED-ITEMS.md	created-by-execution-phase
??	docs/audit/FINAL-AUDIT-VALIDATION.md	created-by-audit
??	docs/audit/evidence/tool-detection-results.md	created-by-execution-phase
??	docs/audit/evidence/environment-recovery-log.md	created-by-execution-phase
??	docs/audit/evidence/execution-capability-matrix.tsv	created-by-execution-phase
M	docs/audit/AUDIT_STATUS.md	updated-by-execution-phase
M	docs/audit/EXECUTIVE-SUMMARY-CURRENT.md	updated-by-execution-phase
M	docs/audit/ISSUE-REGISTER-CURRENT.md	updated-by-execution-phase
M	docs/audit/CURRENT-PROBLEMS-AND-ERRORS.md	updated-by-execution-phase
M	docs/audit/PRODUCTION-READINESS-CHECKLIST.md	updated-by-execution-phase
M	docs/audit/FINAL-AUDIT-VALIDATION.md	updated-by-execution-phase
